107	357.238	233.204	8.491	0.010	3128.971	5	1.360	7.464	0
108	1785.653	236.027	14.624	0.090	3033.352	16	2.291	1.986	0
109	1885.901	236.285	10.131	0.011	3064.711	5	1.255	5.599	0
110	1357.120	239.513	12.214	0.009	3298.501	5	-0.241	1.423	0
111	203.943	242.406	10.974	0.007	3043.78	6	-0.182	2.347	0
112	1376.917	243.907	12.502	0.014	3355.716	6	-0.135	1.751	0
113	648.397	246.990	8.725	0.007	3356.749	6	0.935	4.985	0
114	1085.294	252.391	8.857	0.008	3147.447	5	0.723	5.452	0
115	837.878	252.333	12.941	0.016	2989.83	5	-0.321	1.445	0
116	53.718	253.554	10.846	0.009	3072.728	5	-0.065	3.167	0
117	2006.904	255.033	10.449	0.011	3169.287	6	1.048	4.814	0
118	1791.284	256.290	11.843	0.012	3032.658	5	0.719	2.453	0
119	20.168	257.516	12.733	0.021	3057.262	8	1.916	2.306	0
120	407.855	259.359	12.823	0.015	3059.482	6	-1.055	1.429	0
121	1391.068	260.561	11.791	0.008	3344.129	6	-0.251	1.618	0
122	631.104	262.538	7.542	0.014	3546.007	6	1.577	11.968	0
123	1307.101	264.211	10.462	0.008	3096.362	5	-1.088	3.293	0
124	1383.177	269.301	10.833	0.010	3306.847	8	-1.454	3.033	0
125	1570.656	267.750	12.817	0.013	3123.308	5	-0.275	1.276	0
126	977.815	272.373	11.961	0.011	3009.342	6	-0.881	2.135	0
127	365.216	274.619	11.226	0.008	3096.82	8	-0.750	2.172	0
128	599.096	275.129	9.101	0.005	3288.758	5	0.322	3.418	0
129	1977.538	282.854	12.685	0.013	3117.987	6	1.015	1.483	0
130	104.308	285.151	10.270	0.008	3047.917	5	0.187	3.663	0
131	1481.311	285.353	11.037	0.011	3298.764	6	-1.388	3.527	0
132	304.436	287.518	12.310	0.009	3023.351	4	0.164	1.302	0
133	1876.410	288.113	10.237	0.010	3089.413	11	0.729	4.357	0
134	854.168	289.132	10.528	0.010	2996.829	7	-1.842	4.097	0
135	1656.772	290.711	8.129	0.019	3235.39	5	2.398	15.114	0
136	354.367	291.695	10.577	0.007	3075.148	6	-0.817	2.781	0
137	1259.550	292.390	11.135	0.012	3039.311	7	-1.753	3.513	0
138	1333.345	291.753	12.488	0.014	3122.522	4	-0.711	1.792	0
140	184.347	297.492	8.677	0.012	3182.274	5	1.714	8.826	0
141	1549.150	297.585	13.350	0.019	3108.485	6	1.281	1.242	0
142	726.732	300.275	11.850	0.011	3088.345	7	-1.062	2.019	0
143	627.380	300.846	12.732	0.016	3211.768	5	-0.505	1.643	0
144	1875.870	300.816	12.097	0.014	3064.895	8	1.528	2.486	0
145	1417.261	305.521	7.558	0.018	3632.922	5	2.395	16.001	0
146	1440.770	307.986	8.425	0.013	3439.584	6	1.568	10.243	0
147	1057.619	307.799	11.551	0.012	3124.852	8	-1.746	2.571	0
148	669.439	308.957	12.890	0.013	3152.596	4	-0.547	1.175	0
149	1020.254	310.434	12.706	0.012	3021.692	5	-0.126	1.352	0
150	424.526	314.381	8.394	0.010	3172.721	5	1.361	7.928	0
151	2019.847	316.981	8.309	0.023	3414.445	5	3.367	17.783	0
152	1185.335	317.976	12.461	0.014	3019.318	5	-1.625	1.896	0
153	1084.386	321.870	7.955	0.012	3283.258	5	1.310	10.176	0
154	1367.384	318.643	12.723	0.015	3160.607	4	-0.891	1.609	0
